Sample	Top over-represented sequence	Sum of remaining over-represented sequences
022um-Control_S36_L001_R1_001	45.287778032561334	48.60123824810826
022um-Control_S36_L001_R2_001	83.8225177711534	8.369639990827821
20210602-MA-ABB1F_S31_L001_R1_001	10.686578743211792	72.32350659425911
20210602-MA-ABB1F_S31_L001_R2_001	18.6966640806827	59.58107059736232
20210602-MA-ABB1P_S28_L001_R1_001	8.513165709760443	69.68917046129462
20210602-MA-ABB1P_S28_L001_R2_001	14.175410809740645	60.58206295783004
20210602-MA-ABB1W_S58_L001_R1_001	10.00649772579597	70.66926575698504
20210602-MA-ABB1W_S58_L001_R2_001	17.64782326185835	59.14230019493179
20210602-MA-ABS1F_S45_L001_R1_001	8.905453118870145	72.95017653981971
20210602-MA-ABS1F_S45_L001_R2_001	15.437426441741858	60.808160062769836
20210602-MA-ABS1P_S65_L001_R1_001	9.203389830508476	68.2542372881357
20210602-MA-ABS1P_S65_L001_R2_001	16.474576271186443	57.57627118644087
20210602-MA-ABS1W_S93_L001_R1_001	7.662835249042145	72.4137931034485
20210602-MA-ABS1W_S93_L001_R2_001	13.409961685823754	62.12791040377258
20210602-MA-CEB1F_S8_L001_R1_001	9.176122348297977	70.67916461108373
20210602-MA-CEB1F_S8_L001_R2_001	17.250452228251934	59.61190593652361
20210602-MA-CEB1P_S87_L001_R1_001	15.696602580984989	67.82986568343429
20210602-MA-CEB1P_S87_L001_R2_001	14.946010007900975	64.60363444824857
20210602-MA-CEB1W_S94_L001_R1_001	7.048036129738606	73.36800328452172
20210602-MA-CEB1W_S94_L001_R2_001	8.84083755303134	66.9221294648967
20210602-MA-CES1F_S79_L001_R1_001	16.74535261138979	66.92239598701684
20210602-MA-CES1F_S79_L001_R2_001	29.138388905281793	47.801711419297696
20210602-MA-CES1P_S41_L001_R1_001	17.181624979565147	62.36717345103817
20210602-MA-CES1P_S41_L001_R2_001	30.750367827366354	45.12015693967633
20210602-MA-CES1W_S47_L001_R1_001	18.355308813324083	64.10478834142967
20210602-MA-CES1W_S47_L001_R2_001	32.72033310201249	45.19430950728669
20210602-MA-CWB1F_S18_L001_R1_001	9.024745269286754	68.14653081028634
20210602-MA-CWB1F_S18_L001_R2_001	16.399805919456576	56.47743813682684
20210602-MA-CWB1P_S44_L001_R1_001	11.079500553184763	67.17243559348813
20210602-MA-CWB1P_S44_L001_R2_001	17.828354670459934	55.697803066224
20210602-MA-CWB1W_S11_L001_R1_001	8.972657286965756	68.26387045394216
20210602-MA-CWB1W_S11_L001_R2_001	16.63127156888771	57.14096097690472
20210602-MA-CWS1F_S77_L001_R1_001	8.322344322344323	68.63003663003654
20210602-MA-CWS1F_S77_L001_R2_001	13.47985347985348	53.948717948717835
20210602-MA-CWS1P_S78_L001_R1_001	7.778213166144201	63.69514106583074
20210602-MA-CWS1P_S78_L001_R2_001	11.50078369905956	49.98040752351103
20210602-MA-CWS1W_S70_L001_R1_001	7.750314201927106	67.88158078480663
20210602-MA-CWS1W_S70_L001_R2_001	13.405948889819857	56.89149560117308
20210602-MA-MBB1F_S68_L001_R1_001	17.904401836348907	67.4858223062381
20210602-MA-MBB1F_S68_L001_R2_001	30.745341614906835	49.8919794761004
20210602-MA-MBB1P_S6_L001_R1_001	20.7542194092827	61.629746835442944
20210602-MA-MBB1P_S6_L001_R2_001	35.86497890295359	44.33016877637113
20210602-MA-MBB1W_S34_L001_R1_001	17.339762909383165	67.79184247538677
20210602-MA-MBB1W_S34_L001_R2_001	30.500301386377338	51.55716294956802
