Sample	Unique Reads	Duplicate Reads
022um-Control_S36_L001_R1_001	277.0	8445.0
022um-Control_S36_L001_R2_001	490.0	8232.0
20210602-MA-ABB1F_S31_L001_R1_001	696.0	4460.0
20210602-MA-ABB1F_S31_L001_R2_001	899.0	4257.0
20210602-MA-ABB1P_S28_L001_R1_001	825.0	4226.0
20210602-MA-ABB1P_S28_L001_R2_001	1017.0	4034.0
20210602-MA-ABB1W_S58_L001_R1_001	1052.0	6643.0
20210602-MA-ABB1W_S58_L001_R2_001	1346.0	6349.0
20210602-MA-ABS1F_S45_L001_R1_001	768.0	4330.0
20210602-MA-ABS1F_S45_L001_R2_001	986.0	4112.0
20210602-MA-ABS1P_S65_L001_R1_001	1039.0	4861.0
20210602-MA-ABS1P_S65_L001_R2_001	1215.0	4685.0
20210602-MA-ABS1W_S93_L001_R1_001	985.0	5801.0
20210602-MA-ABS1W_S93_L001_R2_001	1309.0	5477.0
20210602-MA-CEB1F_S8_L001_R1_001	905.0	5176.0
20210602-MA-CEB1F_S8_L001_R2_001	1111.0	4970.0
20210602-MA-CEB1P_S87_L001_R1_001	883.0	6711.0
20210602-MA-CEB1P_S87_L001_R2_001	1143.0	6451.0
20210602-MA-CEB1W_S94_L001_R1_001	1043.0	6264.0
20210602-MA-CEB1W_S94_L001_R2_001	1304.0	6003.0
20210602-MA-CES1F_S79_L001_R1_001	852.0	5926.0
20210602-MA-CES1F_S79_L001_R2_001	1283.0	5495.0
20210602-MA-CES1P_S41_L001_R1_001	900.0	5217.0
20210602-MA-CES1P_S41_L001_R2_001	1090.0	5027.0
20210602-MA-CES1W_S47_L001_R1_001	760.0	5004.0
20210602-MA-CES1W_S47_L001_R2_001	1033.0	4731.0
20210602-MA-CWB1F_S18_L001_R1_001	788.0	3334.0
20210602-MA-CWB1F_S18_L001_R2_001	970.0	3152.0
20210602-MA-CWB1P_S44_L001_R1_001	968.0	5359.0
20210602-MA-CWB1P_S44_L001_R2_001	1287.0	5040.0
20210602-MA-CWB1W_S11_L001_R1_001	1157.0	6377.0
20210602-MA-CWB1W_S11_L001_R2_001	1491.0	6043.0
20210602-MA-CWS1F_S77_L001_R1_001	1073.0	5752.0
20210602-MA-CWS1F_S77_L001_R2_001	1748.0	5077.0
20210602-MA-CWS1P_S78_L001_R1_001	1057.0	4047.0
20210602-MA-CWS1P_S78_L001_R2_001	1533.0	3571.0
20210602-MA-CWS1W_S70_L001_R1_001	1147.0	6014.0
20210602-MA-CWS1W_S70_L001_R2_001	1552.0	5609.0
20210602-MA-MBB1F_S68_L001_R1_001	767.0	6639.0
20210602-MA-MBB1F_S68_L001_R2_001	993.0	6413.0
20210602-MA-MBB1P_S6_L001_R1_001	592.0	3200.0
20210602-MA-MBB1P_S6_L001_R2_001	682.0	3110.0
20210602-MA-MBB1W_S34_L001_R1_001	627.0	4350.0
20210602-MA-MBB1W_S34_L001_R2_001	775.0	4202.0
20210602-MA-MBS1F_S67_L001_R1_001	760.0	5958.0
20210602-MA-MBS1F_S67_L001_R2_001	953.0	5765.0
20210602-MA-MBS1P_S30_L001_R1_001	470.0	3386.0
20210602-MA-MBS1P_S30_L001_R2_001	581.0	3275.0
20210602-MA-MBS1W_S46_L001_R1_001	711.0	5073.0
20210602-MA-MBS1W_S46_L001_R2_001	903.0	4881.0
20210602-MA-SCB1F_S54_L001_R1_001	777.0	5172.0
20210602-MA-SCB1F_S54_L001_R2_001	1022.0	4927.0
20210602-MA-SCB1P_S5_L001_R1_001	837.0	3723.0
20210602-MA-SCB1P_S5_L001_R2_001	1016.0	3544.0
20210602-MA-SCB1W_S32_L001_R1_001	906.0	5831.0
20210602-MA-SCB1W_S32_L001_R2_001	1138.0	5599.0
20210602-MA-SCS1F_S53_L001_R1_001	1057.0	8296.0
20210602-MA-SCS1F_S53_L001_R2_001	1384.0	7969.0
20210602-MA-SCS1P_S88_L001_R1_001	1232.0	6803.0
20210602-MA-SCS1P_S88_L001_R2_001	1545.0	6490.0
20210602-MA-SCS1W_S42_L001_R1_001	652.0	4086.0
20210602-MA-SCS1W_S42_L001_R2_001	855.0	3883.0
20210615-MA-ABB2F_S55_L001_R1_001	244.0	3129.0
20210615-MA-ABB2F_S55_L001_R2_001	317.0	3056.0
20210615-MA-ABB2P_S17_L001_R1_001	927.0	4123.0
20210615-MA-ABB2P_S17_L001_R2_001	1087.0	3963.0
20210615-MA-ABB2W_S92_L001_R1_001	1250.0	9021.0
20210615-MA-ABB2W_S92_L001_R2_001	1533.0	8738.0
20210615-MA-ABS1F_S33_L001_R1_001	820.0	4704.0
20210615-MA-ABS1F_S33_L001_R2_001	972.0	4552.0
