Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
022um-Control_S36_L001_R1_001										2.3045173125429947	2.0981426278376523	0.0	0.0	89.27998165558358	0.0	0.0
022um-Control_S36_L001_R2_001										4.288007337766567	3.8752579683558817	0.0	0.0	0.0	83.8225177711534	0.0
20210602-MA-ABB1F_S31_L001_R1_001										27.928626842513577	14.70131885182312	25.116369278510476	10.686578743211792	0.0	0.0	0.0
20210602-MA-ABB1F_S31_L001_R2_001										22.420480993017843	8.630721489526765	23.913886733902253	18.6966640806827	0.0	0.0	0.0
20210602-MA-ABB1P_S28_L001_R1_001										23.8170659275391	7.978618095426649	41.31855078202336	0.0	0.0	0.0	0.0
20210602-MA-ABB1P_S28_L001_R2_001										18.451791724411006	9.008117204513958	28.548802217382697	14.175410809740645	0.0	0.0	0.0
20210602-MA-ABB1W_S58_L001_R1_001										19.68810916179337	16.45224171539961	23.287849252761532	19.272254710851204	0.0	0.0	0.0
20210602-MA-ABB1W_S58_L001_R2_001										16.257309941520468	10.149447693307343	22.105263157894736	8.97985705003249	17.64782326185835	0.0	0.0
20210602-MA-ABS1F_S45_L001_R1_001										27.10867006669282	12.789329148685761	37.504903883876025	0.0	0.0	0.0	0.0
20210602-MA-ABS1F_S45_L001_R2_001										20.615927814829345	8.552373479795998	26.441741859552764	15.437426441741858	0.0	0.0	0.0
20210602-MA-ABS1P_S65_L001_R1_001										19.966101694915253	10.52542372881356	31.76271186440678	9.203389830508476	0.0	0.0	0.0
20210602-MA-ABS1P_S65_L001_R2_001										19.610169491525422	8.711864406779661	24.40677966101695	16.474576271186443	0.0	0.0	0.0
20210602-MA-ABS1W_S93_L001_R1_001										20.14441497200118	9.932213380489243	38.93309755378721	7.662835249042145	0.0	0.0	0.0
20210602-MA-ABS1W_S93_L001_R2_001										16.607721780135574	11.007957559681698	23.13586796345417	21.780135573239022	0.0	0.0	0.0
20210602-MA-CEB1F_S8_L001_R1_001										22.693635915145535	16.181549087321166	19.141588554514062	18.3193553691827	0.0	0.0	0.0
20210602-MA-CEB1F_S8_L001_R2_001										20.50649564216412	8.682782437099162	26.969248478868607	0.0	17.250452228251934	0.0	0.0
20210602-MA-CEB1P_S87_L001_R1_001										17.79036081116671	12.98393468527785	21.3721358967606	0.0	29.69449565446405	0.0	0.0
20210602-MA-CEB1P_S87_L001_R2_001										13.945219910455622	5.820384514090071	30.747958914932845	12.878588359230973	14.946010007900975	0.0	0.0
20210602-MA-CEB1W_S94_L001_R1_001										20.993567811687424	19.255508416586835	31.066100999042014	7.048036129738606	0.0	0.0	0.0
20210602-MA-CEB1W_S94_L001_R2_001										19.775557684412206	5.364718762830163	30.9839879567538	17.558505542630353	0.0	0.0	0.0
20210602-MA-CES1F_S79_L001_R1_001										21.85010327530245	13.85364414281499	11.19799350840956	0.0	33.003835939805256	0.0	0.0
20210602-MA-CES1F_S79_L001_R2_001										20.832103865447035	8.468574800826202	16.273236943051046	0.0	29.138388905281793	0.0	0.0
20210602-MA-CES1P_S41_L001_R1_001										25.306522805296716	2.8281837502043485	13.781265326140266	0.0	33.70933464116397	0.0	0.0
20210602-MA-CES1P_S41_L001_R2_001										21.726336439431094	8.010462645087461	0.0	12.587869870851726	30.750367827366354	0.0	0.0
20210602-MA-CES1W_S47_L001_R1_001										26.075641915336572	9.680777238029146	7.546842470506593	0.0	35.80846634281748	0.0	0.0
20210602-MA-CES1W_S47_L001_R2_001										22.623178348369187	6.557945870922969	11.641221374045802	0.0	32.72033310201249	0.0	0.0
20210602-MA-CWB1F_S18_L001_R1_001										23.508005822416305	12.372634643377003	33.30907326540514	0.0	0.0	0.0	0.0
20210602-MA-CWB1F_S18_L001_R2_001										26.686074721009216	10.334788937409025	11.887433284813198	16.399805919456576	0.0	0.0	0.0
20210602-MA-CWB1P_S44_L001_R1_001										18.982140034771614	16.53232179547969	17.84415994942311	20.151730678046466	0.0	0.0	0.0
20210602-MA-CWB1P_S44_L001_R2_001										25.225225225225223	7.254623044096728	7.997471155365893	11.332385016595543	17.828354670459934	0.0	0.0
20210602-MA-CWB1W_S11_L001_R1_001										20.573400584019115	7.008229360233607	28.577117069285908	17.586939208919564	0.0	0.0	0.0
20210602-MA-CWB1W_S11_L001_R2_001										21.157419697371914	8.335545526944518	15.688877090522963	8.800106185293338	16.63127156888771	0.0	0.0
20210602-MA-CWS1F_S77_L001_R1_001										16.967032967032967	5.91941391941392	24.571428571428573	23.824175824175825	0.0	0.0	0.0
20210602-MA-CWS1F_S77_L001_R2_001										21.113553113553113	11.135531135531137	16.68864468864469	13.47985347985348	0.0	0.0	0.0
20210602-MA-CWS1P_S78_L001_R1_001										22.452978056426332	1.7829153605015673	39.811912225705335	0.0	0.0	0.0	0.0
20210602-MA-CWS1P_S78_L001_R2_001										23.92241379310345	6.700626959247649	9.698275862068966	11.50078369905956	0.0	0.0	0.0
