Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
022um-Control_S36_L001_R1_001	022um-Control_S36_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8722.0	2.1 Mbp	0.0	251.0	51.0	3.1758770924099977	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
022um-Control_S36_L001_R2_001	022um-Control_S36_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8722.0	2.1 Mbp	0.0	251.0	52.0	5.617977528089887	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABB1F_S31_L001_R1_001	20210602-MA-ABB1F_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5156.0	1.2 Mbp	0.0	251.0	52.0	13.498836307214896	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABB1F_S31_L001_R2_001	20210602-MA-ABB1F_S31_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5156.0	1.2 Mbp	0.0	251.0	52.0	17.416602017067497	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABB1P_S28_L001_R1_001	20210602-MA-ABB1P_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5051.0	1.2 Mbp	0.0	251.0	51.0	16.333399326865965	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABB1P_S28_L001_R2_001	20210602-MA-ABB1P_S28_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5051.0	1.2 Mbp	0.0	251.0	51.0	20.114828746782816	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABB1W_S58_L001_R1_001	20210602-MA-ABB1W_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7695.0	1.9 Mbp	0.0	251.0	51.0	13.671215074723847	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABB1W_S58_L001_R2_001	20210602-MA-ABB1W_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7695.0	1.9 Mbp	0.0	251.0	52.0	17.491877842755034	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABS1F_S45_L001_R1_001	20210602-MA-ABS1F_S45_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5098.0	1.2 Mbp	0.0	251.0	51.0	15.064731267163594	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABS1F_S45_L001_R2_001	20210602-MA-ABS1F_S45_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5098.0	1.2 Mbp	0.0	251.0	52.0	19.340918007061592	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABS1P_S65_L001_R1_001	20210602-MA-ABS1P_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5900.0	1.4 Mbp	0.0	251.0	51.0	17.593220338983052	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABS1P_S65_L001_R2_001	20210602-MA-ABS1P_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5900.0	1.4 Mbp	0.0	251.0	52.0	20.593220338983052	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-ABS1W_S93_L001_R1_001	20210602-MA-ABS1W_S93_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6786.0	1.7 Mbp	0.0	251.0	51.0	14.515178308281756	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-ABS1W_S93_L001_R2_001	20210602-MA-ABS1W_S93_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6786.0	1.7 Mbp	0.0	251.0	51.0	19.289714117300324	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CEB1F_S8_L001_R1_001	20210602-MA-CEB1F_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6081.0	1.5 Mbp	0.0	251.0	51.0	14.882420654497617	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CEB1F_S8_L001_R2_001	20210602-MA-CEB1F_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6081.0	1.5 Mbp	0.0	251.0	52.0	18.253576714356193	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CEB1P_S87_L001_R1_001	20210602-MA-CEB1P_S87_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7594.0	1.9 Mbp	0.0	251.0	51.0	11.627600737424281	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CEB1P_S87_L001_R2_001	20210602-MA-CEB1P_S87_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7594.0	1.9 Mbp	0.0	251.0	52.0	15.051356333947854	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CEB1W_S94_L001_R1_001	20210602-MA-CEB1W_S94_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7307.0	1.8 Mbp	0.0	251.0	50.0	14.260298344053648	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CEB1W_S94_L001_R2_001	20210602-MA-CEB1W_S94_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7307.0	1.8 Mbp	0.0	251.0	51.0	17.84590119063911	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CES1F_S79_L001_R1_001	20210602-MA-CES1F_S79_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6778.0	1.7 Mbp	0.0	251.0	52.0	12.570079669519032	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CES1F_S79_L001_R2_001	20210602-MA-CES1F_S79_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6778.0	1.7 Mbp	0.0	251.0	53.0	18.91413396282089	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CES1P_S41_L001_R1_001	20210602-MA-CES1P_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6117.0	1.5 Mbp	0.0	251.0	51.0	14.713094654242276	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CES1P_S41_L001_R2_001	20210602-MA-CES1P_S41_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6117.0	1.5 Mbp	0.0	251.0	52.0	17.81919241458231	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CES1W_S47_L001_R1_001	20210602-MA-CES1W_S47_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5764.0	1.4 Mbp	0.0	251.0	52.0	13.1852879944483	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CES1W_S47_L001_R2_001	20210602-MA-CES1W_S47_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5764.0	1.4 Mbp	0.0	251.0	53.0	17.921582234559335	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWB1F_S18_L001_R1_001	20210602-MA-CWB1F_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4122.0	1 Mbp	0.0	251.0	52.0	19.092673459485688	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWB1F_S18_L001_R2_001	20210602-MA-CWB1F_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4122.0	1 Mbp	0.0	251.0	53.0	23.508005822416305	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWB1P_S44_L001_R1_001	20210602-MA-CWB1P_S44_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6327.0	1.5 Mbp	0.0	251.0	51.0	15.29951003635214	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWB1P_S44_L001_R2_001	20210602-MA-CWB1P_S44_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6327.0	1.5 Mbp	0.0	251.0	52.0	20.32558874664138	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWB1W_S11_L001_R1_001	20210602-MA-CWB1W_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7534.0	1.8 Mbp	0.0	251.0	51.0	15.357048048845234	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWB1W_S11_L001_R2_001	20210602-MA-CWB1W_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7534.0	1.8 Mbp	0.0	251.0	52.0	19.790284045659675	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWS1F_S77_L001_R1_001	20210602-MA-CWS1F_S77_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6825.0	1.7 Mbp	0.0	251.0	53.0	15.721611721611723	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWS1F_S77_L001_R2_001	20210602-MA-CWS1F_S77_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6825.0	1.7 Mbp	0.0	251.0	54.0	25.5970695970696	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWS1P_S78_L001_R1_001	20210602-MA-CWS1P_S78_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5104.0	1.2 Mbp	0.0	251.0	52.0	20.70924764890282	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWS1P_S78_L001_R2_001	20210602-MA-CWS1P_S78_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5104.0	1.2 Mbp	0.0	251.0	52.0	30.035266457680247	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-CWS1W_S70_L001_R1_001	20210602-MA-CWS1W_S70_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7161.0	1.7 Mbp	0.0	251.0	53.0	16.003351487222456	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-CWS1W_S70_L001_R2_001	20210602-MA-CWS1W_S70_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7161.0	1.7 Mbp	0.0	251.0	53.0	21.67295070520877	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBB1F_S68_L001_R1_001	20210602-MA-MBB1F_S68_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7406.0	1.8 Mbp	0.0	251.0	51.0	10.356467728868484	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBB1F_S68_L001_R2_001	20210602-MA-MBB1F_S68_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7406.0	1.8 Mbp	0.0	251.0	52.0	13.408047529030515	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBB1P_S6_L001_R1_001	20210602-MA-MBB1P_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3792.0	951.7 kbp	0.0	251.0	51.0	15.611814345991561	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBB1P_S6_L001_R2_001	20210602-MA-MBB1P_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3792.0	951.7 kbp	0.0	251.0	52.0	17.95886075949367	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBB1W_S34_L001_R1_001	20210602-MA-MBB1W_S34_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4977.0	1.2 Mbp	0.0	251.0	51.0	12.597950572634117	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBB1W_S34_L001_R2_001	20210602-MA-MBB1W_S34_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4977.0	1.2 Mbp	0.0	251.0	52.0	15.571629495680128	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBS1F_S67_L001_R1_001	20210602-MA-MBS1F_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6718.0	1.6 Mbp	0.0	251.0	51.0	11.312890741292051	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBS1F_S67_L001_R2_001	20210602-MA-MBS1F_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6718.0	1.6 Mbp	0.0	251.0	52.0	14.185769574278059	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBS1P_S30_L001_R1_001	20210602-MA-MBS1P_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3856.0	967.8 kbp	0.0	251.0	50.0	12.188796680497925	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBS1P_S30_L001_R2_001	20210602-MA-MBS1P_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3856.0	967.8 kbp	0.0	251.0	51.0	15.067427385892115	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-MBS1W_S46_L001_R1_001	20210602-MA-MBS1W_S46_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5784.0	1.4 Mbp	0.0	251.0	51.0	12.29253112033195	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-MBS1W_S46_L001_R2_001	20210602-MA-MBS1W_S46_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5784.0	1.4 Mbp	0.0	251.0	52.0	15.612033195020746	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCB1F_S54_L001_R1_001	20210602-MA-SCB1F_S54_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5949.0	1.4 Mbp	0.0	251.0	51.0	13.061018658598083	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-SCB1F_S54_L001_R2_001	20210602-MA-SCB1F_S54_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5949.0	1.4 Mbp	0.0	251.0	52.0	17.162548327449993	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCB1P_S5_L001_R1_001	20210602-MA-SCB1P_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4560.0	1.1 Mbp	0.0	251.0	49.0	18.355263157894736	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
