Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
022um-Control_S36_L001_R1_001	96.82412290759001	51.0	251.0	251	63.63636363636363	8722.0
022um-Control_S36_L001_R2_001	94.38202247191012	52.0	251.0	251	36.36363636363637	8722.0
20210602-MA-ABB1F_S31_L001_R1_001	86.5011636927851	52.0	251.0	251	63.63636363636363	5156.0
20210602-MA-ABB1F_S31_L001_R2_001	82.5833979829325	52.0	251.0	251	36.36363636363637	5156.0
20210602-MA-ABB1P_S28_L001_R1_001	83.66660067313404	51.0	251.0	251	63.63636363636363	5051.0
20210602-MA-ABB1P_S28_L001_R2_001	79.88517125321718	51.0	251.0	251	36.36363636363637	5051.0
20210602-MA-ABB1W_S58_L001_R1_001	86.32878492527615	51.0	251.0	251	63.63636363636363	7695.0
20210602-MA-ABB1W_S58_L001_R2_001	82.50812215724497	52.0	251.0	251	36.36363636363637	7695.0
20210602-MA-ABS1F_S45_L001_R1_001	84.9352687328364	51.0	251.0	251	63.63636363636363	5098.0
20210602-MA-ABS1F_S45_L001_R2_001	80.65908199293841	52.0	251.0	251	36.36363636363637	5098.0
20210602-MA-ABS1P_S65_L001_R1_001	82.40677966101694	51.0	251.0	251	63.63636363636363	5900.0
20210602-MA-ABS1P_S65_L001_R2_001	79.40677966101694	52.0	251.0	251	36.36363636363637	5900.0
20210602-MA-ABS1W_S93_L001_R1_001	85.48482169171824	51.0	251.0	251	63.63636363636363	6786.0
20210602-MA-ABS1W_S93_L001_R2_001	80.71028588269968	51.0	251.0	251	36.36363636363637	6786.0
20210602-MA-CEB1F_S8_L001_R1_001	85.11757934550238	51.0	251.0	251	63.63636363636363	6081.0
20210602-MA-CEB1F_S8_L001_R2_001	81.7464232856438	52.0	251.0	251	36.36363636363637	6081.0
20210602-MA-CEB1P_S87_L001_R1_001	88.37239926257573	51.0	251.0	251	63.63636363636363	7594.0
